#{"t_start": 1656948295.0103543, "env_id": "CustomHopper-source-v0"}
r,l,t
386.659218,159,46.771535
556.169833,202,46.911944
675.861881,253,47.087721
309.83591,128,47.176413
656.788732,230,47.541612
636.542986,212,47.690479
539.253282,175,47.812983
271.973633,122,47.89805
297.466778,127,47.986115
240.619414,117,48.068652
643.218868,220,48.221588
588.38893,211,48.369576
426.724263,164,48.485194
587.916693,213,48.63355
835.577347,281,48.830156
645.449618,228,49.192951
634.004309,209,49.338695
863.19763,298,49.546112
529.09831,201,49.687088
828.702577,285,49.886141
662.240293,229,50.046669
866.297826,276,50.239914
642.897103,209,50.385481
585.517864,211,50.533826
555.071883,190,51.139981
553.193716,189,51.272395
466.237512,179,51.398559
558.630893,199,51.536851
450.817025,154,51.644088
609.799402,226,51.801071
609.758478,219,51.95289
469.842973,178,52.076596
553.350969,204,52.217932
578.327877,211,52.363807
569.478367,205,52.711475
742.72648,256,52.888879
569.532961,210,53.03537
597.266013,205,53.17706
694.667307,262,53.357942
561.951962,194,53.491994
604.730577,205,53.633476
796.698465,278,53.82552
582.976596,216,53.97435
480.449895,175,54.300765
714.799603,236,54.463946
991.987559,332,54.694031
618.741323,222,54.84864
781.082312,276,55.041173
538.546908,207,55.184422
570.665448,207,55.328797
510.269731,193,55.46184
380.110824,143,55.561618
715.728222,254,56.175645
574.934365,201,56.316868
554.774628,210,56.464669
922.55966,316,56.685585
970.342093,355,56.93403
505.634856,207,57.080099
761.322421,271,57.269713
379.592676,144,57.371652
1239.208564,435,57.874739
615.160271,218,58.025063
546.687432,194,58.160385
662.360778,221,58.313599
1019.974044,358,58.56266
994.869601,317,58.781905
1179.639261,392,59.056397
807.689304,302,59.466525
631.496621,228,59.624784
954.116163,306,59.836069
953.280528,305,60.047989
996.087173,378,60.309792
553.282977,207,60.45394
588.597876,201,60.5928
436.565288,219,61.136312
430.290588,216,61.288009
652.281331,306,61.50051
369.747686,193,61.634314
326.689268,197,61.770771
395.828228,207,61.916023
710.00841,340,62.154222
1168.016357,500,62.701417
983.640188,500,63.052644
726.269055,405,63.335602
1058.229986,500,63.687511
1103.509816,500,64.038191
1212.919785,500,64.58779
1008.633744,500,64.936152
1169.439994,500,65.282932
1174.863013,500,65.630152
1467.67047,491,66.322816
1331.75138,500,66.668477
857.063124,301,66.877206
1112.378561,397,67.150804
1132.949166,397,67.62947
1241.094262,471,67.954274
1422.573229,483,68.28728
711.876076,221,68.440415
1345.335995,486,68.777271
1357.257242,438,69.281736
713.029406,236,69.446097
858.579013,285,69.645339
745.409464,286,69.84537
1496.269978,500,70.191987
942.266732,330,70.421962
1328.770535,500,71.457366
1391.988733,500,71.802945
1003.727555,347,72.043746
1054.436739,500,72.392588
1240.762866,500,72.945116
1131.864604,500,73.294661
998.482574,327,73.52071
1259.869178,443,73.827755
1126.379472,500,74.373047
1186.309197,500,74.719013
1155.054869,398,74.993579
1392.340903,500,75.339303
1251.211081,500,75.685838
640.93657,208,76.323726
609.529554,205,76.467128
505.126687,187,76.598056
491.511968,165,76.712187
776.647135,239,76.878332
982.141912,305,77.091328
666.993172,223,77.247031
1084.266045,336,77.481501
774.538923,236,77.847481
781.666175,245,78.018703
850.601373,274,78.20892
926.199099,291,78.411384
752.0255,230,78.571003
615.140183,215,78.72103
616.454073,197,78.857598
737.289431,234,79.020236
902.84586,294,79.224943
525.116543,164,79.546055
905.426386,287,79.745931
682.087687,227,79.905081
783.670327,258,80.084294
652.311656,224,80.240105
778.960393,256,80.417352
615.666143,205,80.560611
710.845673,234,80.723849
972.344168,307,81.489375
511.272713,174,81.6105
887.907991,292,81.812287
698.057596,217,81.963138
637.004342,200,82.102214
791.542437,238,82.266368
656.713525,206,82.40871
793.612365,237,82.572084
907.102163,285,82.974516
693.459971,225,83.130707
790.549674,255,83.308925
842.070956,256,83.487587
855.201671,262,83.669393
623.995351,208,83.815311
690.477096,219,83.96781
771.260189,234,84.131487
980.113288,308,84.545906
1066.776072,338,84.78169
879.885349,259,84.960917
708.21978,221,85.115411
1088.759779,355,85.363191
823.162924,248,85.536285
839.787242,268,85.723428
938.942149,286,85.922191
685.563411,234,86.57713
689.192541,214,86.72588
772.734277,244,86.89792
289.117823,118,86.980641
723.952203,238,87.145674
1004.037523,280,87.338819
756.881907,223,87.492641
777.397346,232,87.653045
804.587519,232,87.813188
359.157238,142,88.114575
810.600028,238,88.279002
697.557649,233,88.439357
793.929033,247,88.609078
747.161818,246,88.778336
844.830492,264,88.959864
904.122305,282,89.154
869.487988,282,89.348277
751.546886,227,89.70406
703.377996,226,89.861295
985.477838,316,90.079291
679.907012,216,90.229065
1182.847247,372,90.485621
812.438945,278,90.676938
1053.652486,332,90.906494
1088.826084,348,91.773222
593.214201,203,91.915342
776.655913,235,92.078336
1467.61989,500,92.423767
1128.247757,361,92.67319
1098.160274,366,92.926058
1257.663768,412,93.416529
1011.329779,324,93.64004
709.313542,206,93.781802
858.736015,261,93.961126
858.098741,267,94.145159
931.557355,301,94.353373
1318.054522,500,94.907602
1497.881538,485,95.24261
770.028938,282,95.437889
1418.39863,500,95.783998
561.919658,202,95.924234
776.267495,248,96.096405
1388.203691,484,96.998005
1357.154049,500,97.345374
1371.337554,500,97.693329
606.206552,251,97.8682
1343.482944,500,98.422464
1294.174979,433,98.724104
1236.317191,421,99.016481
1185.810157,387,99.284907
1409.978516,482,99.620244
1467.374829,500,100.171028
1107.960614,367,100.426067
341.914091,157,100.53683
1271.9226,500,100.884597
1032.292029,342,101.123914
616.151656,225,101.280203
572.322252,203,101.945026
743.129141,251,102.120819
